ಎಲಿಜಬೆತ್	Elizabeth
(ವಿಶ್ವಸಂಸ್ಥೆಯ	(vishvasanstheya
ಒಂದು	ondu
ಶಾಖೆ)ಯ	shaake)
ಪ್ರಕಾರ,	prakaara,
ಸವೆತದ	savetada
ಮೂಲಕ	moolaka
ಉತ್ಪಾದಕ	utpaadaka
ಭೂಮಿಯ	bhoomiya
ಜಾಗತಿಕ	jaagatika
ನಷ್ಟ	nashta
೫-೭	5-7
ಮಿಲಿಯನ್	million
ಹೆಕ್ಟೇರು	hectare
ಪ್ರತಿ	prati
ವರ್ಷ	varsha
ಎಂದು	endu
ಅಂದಾಜಿದಲಾಗಿದೆ.	andaajisalaagide.
</s>	</s>
ನಿಗದಿಗೊಳಿಸಿದ	Nigadigolisida
ಪುನರಾವರ್ತನೆಯಾಗುವ	punaraavartaneyaaguva
ಅನುಸೂಚಿ	anusoochhi
ಅಥವಾ	athavaa
ಎಫ್‌ಆರ್‌ಎಸ್	FRsh
</s>	</s>
ಜಸ್ಟ್	Just
ಇನ್	in
ಟೈಮ್	time
ಅಥವಾ	and
ಜೆಐಹೆಚ್	JIH
</s>	</s>
ಕೆಳಗಡೆಯೂ	Kelagadeyoo
ರೇಖೆಗಳೇ	rekegale
ಊರೆಗಳು.	ooregalu.
</s>	</s>
ಬಿಬಿಸಿಯು	BBCyu
ಈ	ee
ವ್ಯವಸ್ಥೆಯನ್ನು	vyavastheyannu
ವಿರಳವಾಗಿ	viralavaagi
ಬಳಸುತ್ತದೆ,	balasuttade,
ಉದಾಹರಣೆಗಾಗಿ	udaaharanegaagi
ವೆಂಬ್ಲೇಯಲ್ಲಿ	Wembleyyalli
ನಡೆದ	nadeda
೨೦೦೯	2009
ಮಾಸ್ಟರ್ಸ್	masters
ಪಂದ್ಯಾವಳಿಯಲ್ಲಿ	pandyaavaliyalli
ಹಾಕ್-ಐ	hockey
ಅನ್ನು	annu
ಪ್ರತಿ	prati
ಫ್ರೇಮ್‌ಗೆ	framege
ಒಮ್ಮೆ	omme
ಅಥವಾ	athavaa
ಎರಡು	eradu
ಬಾರಿ	baari
ಬಳಸಲಾಯಿತು.	balasalaayitu.
</s>	</s>
ಅನ್ನು	aannu
ಬೆಳೆಸಲಾಗುತ್ತದೆ.	belesalaaguttade.
</s>	</s>
ಭಾರತೀಯ	Bhaarateeya
ಕಾರ್ಯನಿರತ	kaaryanirata
ಪತ್ರಕರ್ತರ	patrakartara
ಒಕ್ಕೂಟದ	okkootada
ರಾಷ್ಟ್ರೀಯ	raashtreeya
ಮಂಡಳಿ	mandali
ಸದಸ್ಯರಾಗಿ	sadasyaraagi
ದೇಶದ	deshada
ವಿವಿಧ	vividha
ಭಾಗಗಳಲ್ಲಿ	bhaagagalalli
ನಡೆದ	nadeda
ಪತ್ರಕರ್ತರ	patrakartara
ಸಮಾವೇಶಗಳಲ್ಲಿ	samaaveshagalalli
ಪಾಲ್ಗೊಂಡಿದ್ದಾರೆ.	paalgondiddaare.
</s>	</s>
ಶನಿವಾರದಂದು	Shanivaaradandu
ನಡುರಾತ್ರಿ	naduraatri
ಕೆಂಡದಿಂದ	kendadinda
ದೀಪ	deepa
ಹೊತ್ತಿಸಿ	hottisi
ಹೊಸಬೆಳಕನ್ನು	hosabelakannu
ಘೋಷಿಸಲಾಗುತ್ತದೆ.	ghoshisalaaguttade.
</s>	</s>
ಫ಼್ರಾನ್ಸ್‌ನಲ್ಲಿ	Francenalli
ಬಹು	bahu
ಚರ್ಚೆಗೆ	charchege
ಒಳಗಾದ	olagaada
ಎಲ್	El
ಖೊಮ್ರಿ	Khomri
(ಕಾರ್ಮಿಕರನ್ನು	(kaarmikarannu
ಕೆಲಸದಿಂದ	kelasadinda
ತೆಗೆದುಹಾಕುವುದನ್ನು	tegeduhaakuvudannu
ಸರಳಗೊಳಿಸುವ	saralagolisuva
ನೀತಿ)	neeti)
ಕರಡು	karadu
ತಿದ್ದುಪಡಿಯ	tiddupadiya
ಪ್ರತಿಪಾದಕರಾಗಿದ್ದಾರೆ.	pratipaadakaraagiddaare.
</s>	</s>
ಆಧುನಿಕ	Aadhunika
ಪರಿಣಾಮವಾದದ	parinaamavaadada
ಪ್ರಕಾರ,	prakaara,
ಮಾನವ	maanava
ಹುಟ್ಟಿದ್ದು	huttiddu
ಈಚೆಗೆ.	eechege.
</s>	</s>
ತುರುವೇಕೆರೆ	Turuvekere
ಸತೀಶ್:	Sateesh:
ಮೂಲತಃ	Moolatah
ಪತ್ರಕರ್ತರು.	patrakartaru.
ಕವಿ,	Kavi,
ಲೇಖಕ,	lekaka,
ನಾಟಕಕಾರ,	naatakakaara,
ಪದಬಂಧ	padabandha
ರಚನೆಕಾರರಾದ	rachanekaararaada
ಇವರು	ivaru
ವಕೀಲರಾಗಿಯೂ	vakeelaraagiyoo
ಸೇವೆ	seve
ಸಲ್ಲಿಸುತ್ತಿದ್ದಾರೆ.	sallisuttiddaare.
</s>	</s>
ಆದರೆ	Aadare
ಇದನ್ನು	idannu
ಕಪ್ಪು-ಬಿಳುಪಿನಲ್ಲಿ	kappu-bilupinalli
ತೋರಿಸಲಾಯಿತು.	torisalaayitu.
</s>	</s>
ಎರಡು	Eradu
ಸುದೀರ್ಘ-ಓಡಿದ	sudeergha-odida
ಪ್ರೈಮ್	prime
ಟೈಮ್	Time
ಗೇಮ್ಸ್	games
ಮಾತ್ರ	maatra
ಪ್ಯಾನಲ್	panal
ಶೊ	show
ಎನಿಸಿದ	enisida
ವಾಟ್	what
ಈಸ್	is
ಮೈ	my
ಲೈನ್	line
?	?
.	.
</s>	</s>
ಮೈನವತಿ	Mainavati
</s>	</s>
ಒಂದುವೇಳೆ	Onduvele
ಈ	ee
ಬಳ್ಳಿ	balli
ನಾಮಾವಶೇಷವಾದರೆ,	naamaavasheshavaadare,
ಬರ್ಡ್	bird
ವಿಂಗ್	wing
ಜಾತೀಯ	jaateeya
ಚಿಟ್ಟೆಗಳು	chittegalu
ಹೋಸ್ಟ್	host
ಪ್ಲಾಂಟ್	plant
ಇಲ್ಲದೆ	illade
ನಿರ್ನಾಮವಾತಬಹುದು.	nirnaamavaagabahudu.
</s>	</s>
ಹಾಗಾಗಿ,	Haagaagi,
ಭಕ್ತರು	bhaktaru
ಇಡೀ	idee
ರಾತ್ರಿ	raatri
ಎಚ್ಚರವಿದ್ದು,	echcharaviddu,
ನೀಲಕಂಠನನ್ನು	neelakanthanannu
ಸ್ತುತಿಸುತ್ತಾರೆ.	stutisuttaare.
</s>	</s>
ಆರ್ಥಿಕ	Aarthika
ಸೂತ್ರಗಳ	sootragala
ವಿಕಸನ	vikasana
ಶೀಲತೆಯನ್ನು	sheelateyannu
ವಿಶೇಷವಾಗಿ	visheshavaagi
ಒತ್ತಿ	otti
ಹೇಳಿದ್ದು	heliddu
ಈ	ee
ಪಂಥದವರ	panthadavara
ಮುಖ್ಯ	mukya
ಸಾಧನೆ.	saadhane.
</s>	</s>
ಆದಾಯಮಾನದಲ್ಲಿ	Aadaayamaanadalli
ಯಾವುದಾದರೂ	yaavudaadaroo
ಒಂದು	ondu
ವರ್ಷ	varsha
ಅಥವಾ	athavaa
ಕೆಲವು	kelavu
ನಿರ್ದಿಷ್ಟವರ್ಷಗಳಲ್ಲಿ	nirdishtavarshagalalli
ಬಂದಿರುವ	bandiruva
ಲಾಭವನ್ನು	laabhavannu
ಸಾಮಾನ್ಯಲಾಭವೆಂದು	saamaanyalaabhavendu
ಪರಿಗಣಿಸಬಹುದು.	pariganisabahudu.
</s>	</s>
ಒಂದು	Ondu
ಮಗುವು	maguvu
ಆಯಿತು.	aayitu.
</s>	</s>
ಈ	Ee
ಪ್ರದೇಶದ	pradeshada
ಜನರನ್ನೂ	janarannu
ಗಾಂಧಾರರೆಂದು	gaandhaararendu
ಕರೆಯುತ್ತಿದ್ದದ್ದುಂಟು.	kareyuttiddadduntu.
</s>	</s>
ಹಿಂದೆ	Hinde
ಅಕಾಂತೊಡಿಯನ್'ಸ್'ಗೆ	acanthodian’sge
ಇದ್ದ	idda
ವಿಶೇಷ	vishesha
ಗುಣಲಕ್ಷಣಗಳು	gunalakshanagalu
ಇಂದು	indu
ಕಾಂಡ್ರಿಕ್	kendrick
ಥೀಸ್	these
ಮೀನುಗಳಿಗೂ	meenugaligoo
ಇದೆ	ide
ಎಂದು	endu
ತಿಳಿಯಲಾಗಿದೆ.	tiliyalaagide.
</s>	</s>
ಕಂಚಿಲ್ದ	Kanchilda
ಬಾಲೆ.	baale.
</s>	</s>
ಅಂಡಾಣುಗಳ	Andaanugala
ಸಂಯೋಗದಿಂದ	sanyogadinda
ಉತ್ಪತ್ತಿ	utpatti
ಯಾಗುವ	yaaguva
ಮರಿ	mari
ಕಡಲ	kadala
ಹೂ	hoo
ತಾಯಿಯ	taayiya
ಬಾಯ	baayiya
ಮೂಲಕ	moolaka
ಹೊರಬಂದು,	horabandu,
ಯಾವುದಾದರೂ	yaavudaadaroo
ಆಧಾರಕ್ಕೆ	aadhaarakke
ಅಂಟಿಕೊಂಡು	antikondu
ಸ್ವತಂತ್ರ	svatantra
ಜೀವಿಯಾಗಲು	jeeviyaagalu
ತೊಡಗುತ್ತದೆ.	todaguttade.
</s>	</s>
ಆದರೆ,	Aadare,
ಟಿಪ್ಪು	Tippu
ಎಂದೂ	endoo
ಹುಲಿಗಳೊಂದಿಗೆ	huligalondige
ಕಾದಾಡಿದ	kaadaadida
ಉದಾಹರಣೆ	udaaharane
ಇಲ್ಲ!	illa!
</s>	</s>
ಕೊಲೆ,	Kole,
ಪ್ರಮುಖ	pramuka
ಭೂ	bhoo
ವ್ಯವಹಾರ	vyavahaara
ಮತ್ತು	mattu
ಸ್ಮಾರಕಗಳ	smaarakagala
ದರೋಡೆಯಂತಹ	darodeyantaha
ಹೆಚ್ಚು	hechchu
ಗಂಭೀರ	ganbheera
ಕೇಸುಗಳನ್ನು	kesugalannu
ವಜೀರ	Vajeera
ಅಥವಾ	athavaa
ಫೇರೋ	Fero
ವಶದಲ್ಲಿದ್ದ	vashadallidda
ಗ್ರೇಟ್	great
ಕೆನ್ಬೆಟ್‌	Kenbet
ಮೇಲ್ವಿಚಾರಣೆ	melvichaarane
ವಹಿಸುತ್ತಿತ್ತು.	vahisuttittu.
</s>	</s>
ತಲೆಯು	Taleyu
ಸಣ್ಣದಾಗಿದ್ದು	sannadaagiddu
ಚೂಪಾದ	choopaada
ಮೂತಿ	mooti
ಇದೆ.ಈ	ide.Ee
ಪ್ರಾಣಿಗಳಿಗೆ	praanigalige
ಹಲ್ಲು	hallu
ಇರುವುದಿಲ್ಲ.ಕಣ್ಣು	iruvudilla.Kannu
ಹಾಗು	haagu
ಪಿನ್ನೆ	pinne
ಸಣ್ಣದಾಗಿದೆ.ನಾಲಗೆಯು	sannadaagide.Naalageyu
ಗಮನಾರ್ಹವಾಗಿ	gamanaarhavaagi
ಉದ್ದ,ಜಿಗುಟಾಗಿದೆ.	udda,jigutaagide.
</s>	</s>
ರಾಷ್ಟ್ರದಿಂದ	Raashtradinda
ರಾಷ್ಟ್ರಕ್ಕೆ	raashtrakke
ಕೆಂಪು	kenpu
ಬಣ್ಣದ	bannada
ಬಳಕೆಯು	balakeyu
ಸದೃಶವಾದ	sadrushavaada
ಲಕ್ಷಣಾರ್ಥಗಳನ್ನು	lakshanaarthagalannu
ಹೊಂದಿದೆ :	hondide:
ತಮ್ಮ	tamma
ರಾಷ್ಟ್ರವನ್ನು	raashtravannu
ರಕ್ಷಿಸಲು	rakshisalu
ಯತ್ನಿಸಿದವರ	yatnisidavara
ರಕ್ತ,	rakta,
ಬಲಿದಾನ/ತ್ಯಾಗ,ಹಾಗೂ	balidaana/tyaaga, haagoo
ಧೈರ್ಯಗಳನ್ನು;	dhairyagalannu;
ಸೂರ್ಯ	soorya
ಮತ್ತು	Mattu
ಅದು	adu
ನೀಡುವ	needuva
ಆಶಯ	aashaya
ಹಾಗೂ	haagoo
ಹಿತೋಷ್ಣತೆ;	hitoshnate;
ಕ್ರಿಸ್ತನ	kristana
ರಕ್ತದ	raktada
ಬಲಿದಾನಗಳು	balidaanagalu
(ಕೆಲ	(kela
ಐತಿಹಾಸಿಕ	aitihaasika
ಕ್ರೈಸ್ತ	kraista
ರಾಷ್ಟ್ರಗಳಲ್ಲಿ)	raashtragalalli)
ಅದರ	adara
ಕೆಲ	kela
ಉದಾಹರಣೆಗಳು.	udaaharanegalu.
</s>	</s>
ಪೀಟರ್‌	Peter
ಗರ್ನಿ	Gerny
</s>	</s>
ಆದರೆ,	Aadare,
ಅವನ	avana
ರಾಜ್ಯದ	raajyada
ಹಿಂದೂಗಳು	hindoogalu
ಮಾತ್ರ	maatra
ಒಂದಕ್ಕೆರಡು	ondakkeradu
ಪಟ್ಟು	pattu
ತೆರಿಗೆ	terige
ಕಟ್ಟುತ್ತ	kattutta
ಹೈರಾಣಾಗಿದ್ದರು.	hairaanaagiddaru.
</s>	</s>
ನಾಗದಂತಿಯ	Naagadantiya
ಎಲೆಗಳು	elegalu
ಸರಳವಾಗಿದ್ದು	saralavaagiddu
ಸಣ್ಣದಾಗಿರುತ್ತವೆ.	sannadaagiruttave.
</s>	</s>
ಈ	Ee
ಪ್ರದೇಶದಲ್ಲಿ	pradeshadalli
ಉಕ್ಕು	ukku
ಮತ್ತು	mattu
ಕಲ್ಲಿದ್ದಲು	kalliddalu
ಉತ್ಪಾದನೆಯಲ್ಲಿ	utpaadaneyalli
ತೊಡಗಿರುವ	todagiruva
ಸಂಸ್ಥೆಗಳಿಗೆ	samsthegalige
ಬಂಡವಾಳ	bandavaala
ಒದಗಿಸುವುದರಲ್ಲೂ	odagisuvudaralloo
ಉನ್ನತ	unnata
ಮಂಡಲಿ	mandali
ಸಹಾಯ	sahaaya
ಮಾಡುತ್ತದೆ.	maaduttade.
</s>	</s>
ಹೊಸ	Hosa
ಉದ್ಯಮಗಳು	udyamagalu
ಪ್ರೋತ್ಸಾಹ	protsaaha
ಪಡೆಯುವುದಿಲ್ಲ.	padeyuvudilla.
</s>	</s>
ಸಿಬಿಎಸ್	CBS
ರೇಡಿಯೊ	radio
ನೆಟ್ವರ್ಕ್	network
ಇಂದು	indu
ಕೂಡಾ	koodaa
ಅವ್ಯಾಹತವಾಗಿ	avyaahatavaagi
ಕಾರ್ಯ	kaarya
ಮಾಡುತ್ತಿದೆ,	maaduttide,
ಆದರೆ	aadare
ಅದು	adu
ಪ್ರಧಾನವಾಗಿ	pradhaanavaagi
ಅತ್ಯುತ್ತಮ	atyuttama
ಸುದ್ದಿ	suddi
ಪ್ರಸಾರಗಳು	prasaaragalu
ಅಲ್ಲದೇ	allade
ಅದರ	adara
ಪ್ರಾಮುಖ್ಯತೆ	praamukyate
ಪಡೆದ	padeda
ಬೆಳಗ್ಗೆ	belagge
ಮತ್ತು	mattu
ಸಾಯಂಕಾಲದ	saayankaalada
"ವರ್ಲ್ಡ್	"world
ನಿವ್ಸ್	news
ರೌಂಡ್	round
ಅಪ್	up
"	"
ಪ್ರಸಾರ	prasaara
ಮಾಡುತ್ತದೆ.	maaduttade.
</s>	</s>
ಶೋಶೆಂಕ್‌	Shoshenk
ಅವನ	avana
ಕುಟುಂಬ	kutunba
ಸದಸ್ಯರನ್ನು	sadasyarannu
ಪ್ರಮುಖ	pramuka
ಧಾರ್ಮಿಕ	dhaarmika
ಗುರುಗಳ	gurugala
ಸ್ಥಾನಗಳಲ್ಲಿ	sthaanagalalli
ನೇಮಕ	nemaka
ಮಾಡುವುದರ	maaduvudara
ಮ‌ೂಲಕ	maoolaka
ದಕ್ಷಿಣ	dakshina
ಈಜಿಪ್ಟಿನ	Egyptna
ನಿಯಂತ್ರಣವನ್ನೂ	niyantranavannoo
ಪಡೆದನು.	padedanu.
</s>	</s>
ಸಾವಿತ್ರಿಬಾಯಿ	Saavitribaayi
ಅವರ	avara
ಯಶಸ್ಸು,	yashassu,
ಶ್ರೇಯಸ್ಸಿನ	shreyassina
ವಿಕ್ರಮಪಾಲು	vikramapaalu
ಜ್ಯೋತಿ	Jyoti
ಬಾ	Ba
ಫುಲೆ	Pule
ಅವರದಾಗಿತ್ತು.	avaradaagittu.
</s>	</s>
ಕಾರಂತರಿಂದ	Kaarantarinda
ಹಾಗು	haagu
ನೀ.	nee.
</s>	</s>
ಅವಿರತವಾಗಿ	Aviratavaagi
ಸಾಗಿರುವ	saagiruva
ಮರಮಟ್ಟುಗಳ	maramattugala
ಉದ್ಯಮ,	udyama,
ಬ್ರೆಜಿಲ್	Brazil
ನ	na
ಅಮೆಜಾನ್	amazon
ಪ್ರದೇಶದಲ್ಲಿ	pradeshadalli
ಹೆದ್ದಾರಿಗಳ	heddaarigala
ನಿರ್ಮಾಣ	nirmaana
,	,
ಕೃಷಿಭೂಮಿಗಾಗಿ	krushibhoomigaagi
ಕಾಡಿನ	kaadina
ನಾಶ	naasha
ಇವುಗಳಿಂದಾಗಿ	ivugalindaagi
ಮಳೆಕಾಡಿನ	malekaadina
ವ್ಯಾಪ್ತಿ	vyaapti
ಕುಗ್ಗುತ್ತಿದೆ.	kugguttide.
</s>	</s>
ಈ	Ee
ಸಮಾಜದ	samaajada
ಇಸ್ಪೀಟಿನ	ispeetina
ಎಲೆಗಳ	elegala
ಸಂಗ್ರಹವೂ	sangrahavoo
ಒಂದು	ondu
ಹವ್ಯಾಸ.	havyaasa.
</s>	</s>
ಎರಡು	Eradu
ಹೃತ್ಕುಕ್ಷಿಗಳ	hrutkukshigala
ನಡುವೆಯೂ	naduveyoo
ಒಂದು	ondu
ರೇಖೆ	reke
ಇದೆ.	ide.
</s>	</s>
ಪೌಲ್	Paul
ಹಾಕಿನ್ಸ್	Hawkins
ಅವರ	avara
ಪ್ರಕಾರ	prakaara
ಪ್ರೀಮಿಯರ್	premier
ಲೀಗ್ನಲ್ಲಿ	leaguenalli
ಪ್ರಾಯೋಗಿಕ	praayogika
ಪರೀಕ್ಷೆಯು	pareeksheyu
ನಡೆಯುವ	nadeyuva
ಸಂಭವವಿದೆ.	sanbhavavide.
</s>	</s>
ಗಣಿ	Gani
ಪ್ರದೇಶಗಳಲ್ಲಿ	pradeshagalalli
ಕಲ್ಲಿದ್ದಲು	kalliddalu
ಸಾಗಣೆಗೆ	saaganege
ತೆರೆದಬಂಡಿ	teredabandi
ಮಾರ್ಗಗಳು	maargagalu
೧೭ನೇ	17ne
ಶತಮಾನದಲ್ಲಿ	shatamaanadalli
ಆರಂಭವಾಯಿತು	aaranbhavaayitu
ಮತ್ತು	mattu
ಅವು	avu
ಆಗಾಗ್ಗೆ	aagaagge
ಕಲ್ಲಿದ್ದಿಲಿನ	kalliddilina
ಇನ್ನಷ್ಟು	innashtu
ದೂರದ	doorada
ಸಾಗಣೆಗೆ	saaganege
ಕಾಲುವೆ	kaaluve
ಅಥವಾ	athavaa
ನದಿ	nadi
ಜಾಲಗಳ	jaalagala
ಜತೆ	jate
ಸಂಬಂಧ	sanbandha
ಹೊಂದಿದ್ದವು.	hondiddavu.
</s>	</s>
ಈ	Ee
ವಯಸ್ಸಿನ	vayassina
ನಂತರ	nantara
ಗಂಡುಮಕ್ಕಳ	gandumakkala
ಪರಿಶುದ್ಧತೆಗಾಗಿ	parishuddhategaagi
ಸುನತಿ	sunati
ಮಾಡಿ,	maadi,
ತಲೆ	tale
ಬೋಳಿಸುತ್ತಿದ್ದರು.	bolisuttiddaru.
</s>	</s>
ಕುಣಿಯುವವನೆದುರಿಗೆ	Kuniyuvavanedurige
ಒಬ್ಬ	obba
ವ್ಯಕ್ತಿಯನ್ನು	vyaktiyannu
ನಿಲ್ಲಿಸಿ	nillisi
ಅವನ	avana
ತಲೆಯ	taleya
ಮೇಲೆ	mele
ಕರವಸ್ತ್ರ	karavastra
ಅಥವಾ	athavaa
ರೂಪಾಯಿ	roopaayi
ನೋಟನ್ನು	notannu
ಇಟ್ಟರೆ,	ittare,
ಮರಗಾಲಿನವರು	maragaalinavaru
ಕುಣಿಯುತ್ತಲೇ	kuniyuttale
ಕೆಳಕ್ಕೆ	kelakke
ಬಾಗಿ,	baagi,
ಬಾಯಿ	baayi
ಅಥವಾ	athavaa
ಕಣ್ಣಿನ	kannina
ರೆಪ್ಪೆಯಿಂದ	reppeyinda
ಆ	aa
ವಸ್ತುವನ್ನು	vastuvannu
ಮೇಲೆತ್ತುವುದು	melettuvudu
ಮೊದಲಾದ	modalaada
ಕೆಲವು	kelavu
ಚಮತ್ಕಾರಗಳನ್ನು	chamatkaaragalannu
ತೋರಿಸಿ	torisi
ಪ್ರೇಕ್ಷಕರನ್ನು	prekshakarannu
ರಂಜಿಸುತ್ತಾರೆ.	ranjisuttaare.
</s>	</s>
ನರಸಿಂಹಾಚಾರ್	Narasimhaachaar
ಅವರುಗಳ	avara
ಜೊತೆ	jote
ಸಿಕ್ಕಿತು.	sikkitu.
</s>	</s>
ದಕ್ಷಿಣ	Dakshina
ಅಮೇರಿಕದಲ್ಲಿ,	americadalli,
ಪ್ರಸ್ತುತ	prastuta
ಸಿಲ್ವ್ಯೆಟಿಕ್	silvyetik
ಆವೃತ್ತಿ	aavrutti
ಮಾತ್ರ	maatra
ಮಾನವರಲ್ಲಿ	maanavaralli
ಈ	ee
ಸೋಂಕು	sonku
ಹರಡಲು	haradalu
ದಾರಿ.	daari.
</s>	</s>
