Kannada-Word,Part-of-Speech
ರಸ್ತೆಗಳನ್ನು,N__NN
ಸುಧಾರಿಸಲು,V__VM__VINF
ಹೆದ್ದಾರಿ,JJ
ಇಲಾಖೆಯ,N__NN
ಮೂಲಕ,RP__RPD
ರಸ್ತೆ,N__NN
ಮತ್ತು,CC__CCD
ಸೇತುವೆ,N__NN
ರಚನೆಗಳನ್ನು,N__NN
ನವೀಕರಿಸಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__VAUX
.,RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ಒಟ್ಟು,QT__QTF
"1,30,058",QT__QTC
ಚ.ಕಿ.ಮೀ.,RP__CL
ವಿಸ್ತೀರ್ಣವನ್ನು,N__NN
ಹೊಂದಿದೆ,V__VM__VF
.,RD__PUNC
ಇದರಲ್ಲಿ,DM__DMD
ಸುಮಾರು,JJ
"1,99,040",QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳು,N__NN
ಇವೆ,V__VM__VF
.,RD__PUNC
ಇವುಗಳಲ್ಲಿ,DM__DMD
"61,641",QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳನ್ನು,N__NN
ಕೇಂದ್ರ,JJ
ಮತ್ತು,CC__CCD
ರಾಜ್ಯ,JJ
ಹೆದ್ದಾರಿ,N__NN
ಇಲಾಖೆಯು,N__NN
ನಿರ್ವಹಿಸುತ್ತವೆ,V__VM__VF
.,RD__PUNC
ರಸ್ತೆಗಳ,N__NN
ವಿಧಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಅವುಗಳ,PR__PRP
ಉದ್ದ,N__NN
:,RD__PUNC
ಇದು,DM__DMD
ಅಲ್ಲದೆ,CC__CCS
",",RD__PUNC
ಸ್ಥಳೀಯ,JJ
ಸಂಸ್ಥೆಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಇತರ,JJ
ಇಲಾಖೆಗಳು,N__NN
ರಸ್ತೆಗಳನ್ನು,N__NN
ನಿರ್ವಹಿಸುತ್ತವೆ,V__VM__VF
.,RD__PUNC
ಭಾರತದಲ್ಲಿ,N__NNP
",",RD__PUNC
ಪ್ರತಿ,JJ
ಒಂದು,QT__QTC
ಲಕ್ಷ,QT__QTC
ಜನಸಂಖ್ಯೆಗೆ,N__NN
ಸರಾಸರಿ,JJ
329,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ರಸ್ತೆಯ,N__NN
ಮೂಲ,JJ
ಸೌಕರ್ಯ,N__NN
ಸೌಲಭ್ಯಗಳು,N__NN
ಲಭ್ಯ,N__NN
ಇವೆ,V__VM__VF
.,RD__PUNC
ತಮಿಳುನಾಡಿನಲ್ಲಿ,N__NNP
ಪ್ರತಿ,JJ
ಒಂದು,QT__QTC
ಲಕ್ಷ,QT__QTC
ಜನಸಂಖ್ಯೆಗೆ,N__NN
319,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆ,JJ
ಸೌಲಭ್ಯ,N__NN
ಇದೆ,V__VM__VF
.,RD__PUNC
ಅಲ್ಲದೆ,CC__CCS
",",RD__PUNC
ಪ್ರತಿ,JJ
100,QT__QTC
ಚ.ಕಿ.ಮೀ.,RP__CL
ಪ್ರದೇಶದಲ್ಲಿ,N__NN
",",RD__PUNC
ಪ್ರಸ್ತುತ,JJ
ಭಾರತದ,N__NNP
ಸರಾಸರಿ,N__NN
ಪರಿಮಾಣ,N__NN
103,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಗಳಿಗಿಂತ,PSP
ತಮಿಳುನಾಡಿನಲ್ಲಿ,N__NNP
153,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳು,N__NN
ಇವೆ,V__VM__VF
.,RD__PUNC
ತಮಿಳುನಾಡಿನಲ್ಲಿ,N__NNP
ರಸ್ತೆ,N__NN
ಮೂಲ,JJ
ಸೌಕರ್ಯಗಳ,N__NN
ಉತ್ತಮ,JJ
ಅಭಿವೃದ್ಧಿಗೆ,N__NN
ಇದು,DM__DMD
ಸಾಕ್ಷಿ,N__NN
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ತಮಿಳುನಾಡಿನ,N__NNP
ಕರಾವಳಿಯ,N__NN
ಉದ್ದ,N__NN
1076,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ಇದು,DM__DMD
ಚೆನ್ನೈ,N__NNP
",",RD__PUNC
ಎನ್ನೂರ್,N__NNP
ಮತ್ತು,CC__CCD
ತೂತುಕುಡಿ,N__NNP
ಎಂಬ,CC__CCS
3,QT__QTC
ಪ್ರಮುಖ,JJ
ಬಂದರುಗಳನ್ನು,N__NN
ಹೊಂದಿದೆ,V__VM__VF
.,RD__PUNC
2006ನೇ,QT__QTO
ವರ್ಷದಲ್ಲಿ,N__NN
15,QT__QTC
ಸಣ್ಣ,JJ
ಬಂದರುಗಳು,N__NN
ಇದ್ದವು,V__VM__VF
.,RD__PUNC
ಈ,DM__DMD
ಸರ್ಕಾರದ,N__NN
ಉತ್ಸಾಹದ,JJ
ಪ್ರಯತ್ನದಿಂದ,N__NN
ಆಗಿ,RP__RPD
ಅವು,DM__DMD
20,QT__QTC
ಸಣ್ಣ,JJ
ಬಂದರುಗಳಿಗೆ,N__NN
ಹೆಚ್ಚಿವೆ,V__VM__VF
.,RD__PUNC
1963ರ,N__NN
ಬಂದರು,N__NN
ಕಾಯಿದೆಯ,N__NN
ಅನ್ವಯ,RP__RPD
ಸ್ಥಾಪಿಸಲು,V__VM__VINF
ಆದ,V__VAUX
",",RD__PUNC
ದೊಡ್ಡ,JJ
ಬಂದರುಗಳು,N__NN
ಕೇಂದ್ರ,JJ
ಸರ್ಕಾರದ,N__NN
ನಿಯಂತ್ರಣದಲ್ಲಿ,N__NN
ಇವೆ,V__VM__VF
ಮತ್ತು,CC__CCS
1908ರ,N__NN
ಬಂದರುಗಳ,N__NN
ಕಾಯಿದೆಯ,N__NN
ಅನ್ವಯ,RP__RPD
ಇರುವ,V__VM__VNG
",",RD__PUNC
ಸಣ್ಣ,JJ
ಬಂದರುಗಳು,N__NN
ರಾಜ್ಯ,JJ
ಸರ್ಕಾರದ,N__NN
ನಿಯಂತ್ರಣದಲ್ಲಿ,N__NN
ಇವೆ,V__VM__VF
.,RD__PUNC
ತಮಿಳುನಾಡಿನ,N__NNP
ಸಣ್ಣ,JJ
ಬಂದರುಗಳ,N__NN
ನಿರ್ವಹಣೆ,N__NNV
ಮತ್ತು,CC__CCD
ನಿಯಂತ್ರಣಕ್ಕೆ,N__NN
ಸಂಬಂಧಿಸಿದ,V__VM__VNG
ಕೆಲಸವನ್ನು,N__NN
ತಮಿಳುನಾಡಿನ,N__NNP
ಸರ್ಕಾರದ,N__NN
ಸಣ್ಣ,JJ
ಬಂದರು,N__NN
ಇಲಾಖೆಯು,N__NN
ನಡೆಸುತ್ತದೆ,V__VM__VF
.,RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ಕಡಲ,N__NN
ಮಂಡಳಿ,N__NN
ಕಾಯಿದೆ,N__NN
",",RD__PUNC
1995ರ,N__NN
ಅಡಿಯಲ್ಲಿ,RP__RPD
18.03.1997,N__NNP
ರಂದು,PSP
ತಮಿಳುನಾಡು,N__NNP
ಕಡಲ,N__NN
ಮಂಡಳಿಯನ್ನು,N__NN
ರಚಿಸಲು,V__VM__VF
ಆಯಿತು,V__VAUX
.,RD__PUNC
16.09.1998,N__NNP
ರಂದು,PSP
ತೂತುಕುಡಿಯಲ್ಲಿ,N__NNP
ಸ್ಥಾಪಿಸಲು,V__VM__VINF
ಆದ,V__VAUX
",",RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ಕಡಲ,N__NN
ತರಬೇತಿ,N__NN
ಸಂಸ್ಥೆ,N__NN
",",RD__PUNC
ಸರ್ಕಾರಿ,JJ
ಆದೇಶ,N__NN
ಸಂಖ್ಯೆ,N__NN
196,QT__QTC
",",RD__PUNC
01.08.2008,N__NNP
ಹೆದ್ದಾರಿಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಸಣ್ಣ,JJ
ಬಂದರು,N__NN
ಇಲಾಖೆಯಂತೆ,N__NN
",",RD__PUNC
ತಮಿಳುನಾಡಿನ,N__NNP
ಕಡಲ,JJ
ಮಂಡಳಿಯ,N__NN
ನಿಯಂತ್ರಣದಲ್ಲಿ,N__NN
ಕಾರ್ಯವನ್ನು,N__NN
ನಿರ್ವಹಿಸುತ್ತಿದೆ,V__VM__VF
.,RD__PUNC
ಪೂಂಪುಹಾರ್,N__NNP
ಶಿಪ್ಪಿಂಗ್,N__NNP
ಕಾರ್ಪೊರೇಶನ್,N__NNP
ಅನ್ನು,PSP
11.04.1974,N__NNP
ರಂದು,PSP
ಕಂಪನಿಗಳ,N__NN
ಕಾಯಿದೆ,N__NN
1956ರ,N__NN
ಅಡಿಯಲ್ಲಿ,RP__RPD
",",RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ವಿದ್ಯುತ್,JJ
ಮಂಡಳಿ,N__NN
ಒಡೆತನದ,N__NN
ಉಷ್ಣ,JJ
ವಿದ್ಯುತ್,N__NN
ಸ್ಥಾವರಗಳಿಗೆ,N__NN
ಅಗತ್ಯ,N__NN
ಇರುವ,V__VM__VNG
ಕಲ್ಲಿದ್ದಲನ್ನು,N__NN
ಸಮುದ್ರದ,N__NN
ಮೂಲಕ,RP__RPD
ಸರಬರಾಜು,N__NN
ಮಾಡಲು,V__VM__VINF
ಸ್ಥಾಪಿಸಲು,V__VM__VF
ಆಯಿತು,V__VAUX
.,RD__PUNC
ನಿಗಮವು,N__NN
ಹಲ್ದಿಯಾ,N__NNP
",",RD__PUNC
ಪರದೀಪ್,N__NNP
ಮತ್ತು,CC__CCD
ವಿಶಾಖಪಟ್ಟಣಂ,N__NNP
ಬಂದರುಗಳಿಂದ,N__NN
ಎಂ.,N__NNP
ವಿ.,N__NNP
ತಮಿಳು,N__NNP
ಅಣ್ಣಾ,N__NNP
",",RD__PUNC
ಎಂ.,N__NNP
ವಿ.,N__NNP
ತಮಿಳು,N__NNP
ಪೆರಿಯಾರ್,N__NNP
ಮತ್ತು,CC__CCD
ಎಂ.,N__NNP
ವಿ.,N__NNP
ತಮಿಳು,N__NNP
ಕಾಮರಾಜ್,N__NNP
ಅವರು,PR__PRP
ಮೂರು,QT__QTC
ಸ್ವಂತ,JJ
ಹಡಗುಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಚಾರ್ಟರ್ಡ್,JJ
ಹಡಗುಗಳ,N__NN
ಮೂಲಕ,RP__RPD
ಎನ್ನೂರ್,N__NNP
ಮತ್ತು,CC__CCD
ತೂತುಕುಡಿ,N__NNP
ಬಂದರುಗಳಲ್ಲಿ,N__NN
ಕಲ್ಲಿದ್ದಲನ್ನು,N__NN
ತುಂಬಿಸುತ್ತಾರೆ,V__VM__VF
ಮತ್ತು,CC__CCS
ಇಳಿಸುತ್ತಾರೆ,V__VM__VF
.,RD__PUNC
ಜೊತೆಗೆ,CC__CCS
",",RD__PUNC
ಕುಮಾರಿ,N__NNP
ಮುನೈನಿಂದ,N__NNP
ವಿವೇಕಾನಂದ,N__NNP
ಸ್ಮಾರಕ,N__NN
ಮತ್ತು,CC__CCD
ಅಯ್ಯನ್,N__NNP
ತಿರುವಳ್ಳುವರ್,N__NNP
ಪ್ರತಿಮೆಗೆ,N__NN
ದೋಣಿ,N__NN
ಸೇವೆಯನ್ನು,N__NN
ಶ್ರೀಮತಿ,N__NNP
ಎಲ್.,N__NNP
ಕುಗನ್.,N__NNP
",",RD__PUNC
ಎಂ.,N__NNP
ಎಲ್.,N__NNP
ಪ್ಯಾಕೇಜ್,N__NNP
ಮತ್ತು,CC__CCD
ಎಂ.,N__NNP
ಎಲ್.,N__NNP
ಭಾಗೀರಥಿ,N__NNP
ಅಂತಹ,RP__RPD
ಮೂರು,QT__QTC
ವಿಹಾರ,JJ
ನೌಕೆಗಳು,N__NN
ನಿರ್ವಹಿಸುತ್ತವೆ,V__VM__VF
.,RD__PUNC
ನೀತಿ,N__NN
ವ್ಯಾಖ್ಯಾನ,N__NN
.,RD__PUNC
ತಮಿಳುನಾಡಿನ,N__NNP
ಮಾನ್ಯ,JJ
ಮುಖ್ಯಮಂತ್ರಿ,N__NN
ಡಾ.,N__NN
ಕಲೈಂಗಾರ್,N__NNP
ನೇತೃತ್ವದ,N__NN
ಸರ್ಕಾರವು,N__NN
ತಮಿಳುನಾಡಿನ,N__NNP
ಮೂಲ,JJ
ಸೌಕರ್ಯಗಳನ್ನು,N__NN
ಸುಧಾರಿಸಲು,V__VM__VINF
ಒತ್ತು,RB
ನೀಡಿದೆ,V__VM__VF
.,RD__PUNC
ರಸ್ತೆ,N__NN
ಮತ್ತು,CC__CCD
ಸೇತುವೆಯ,N__NN
ಮೂಲ,JJ
ಸೌಕರ್ಯವನ್ನು,N__NN
ಸುಧಾರಿಸಲು,V__VM__VINF
ಏಪ್ರಿಲ್,N__NNP
1946ರಲ್ಲಿ,N__NN
ಹೆದ್ದಾರಿಗಳಿಗೆ,N__NN
ಆಗಿ,RP__RPD
ಪ್ರತ್ಯೇಕ,JJ
ವಿಭಾಗವನ್ನು,N__NN
ಸ್ಥಾಪಿಸಲು,V__VM__VF
ಆಯಿತು,V__VAUX
.,RD__PUNC
ಹೆಚ್ಚುತ್ತ,V__VM__VNF
ಇರುವ,V__VAUX
ವಾಹನಗಳು,N__NN
ಮತ್ತು,CC__CCD
ರಸ್ತೆ,N__NN
ಬಳಕೆದಾರರ,N__NN
ಅಗತ್ಯಗಳನ್ನು,N__NN
ಪೂರೈಸುವ,V__VM__VNG
ಸಲುವಾಗಿ,RP__RPD
",",RD__PUNC
ಹೆದ್ದಾರಿ,JJ
ಇಲಾಖೆಯು,N__NN
ಭಾರತೀಯ,JJ
ರಸ್ತೆಗಳ,N__NN
ಶಿಷ್ಟಾಚಾರಕ್ಕೆ,N__NN
ಅನುಗುಣವಾಗಿ,RB
ರಸ್ತೆ,N__NN
ಸುಧಾರಣೆ,N__NNV
ಯೋಜನೆಗಳನ್ನು,N__NN
ಜಾರಿಗೊಳಿಸುತ್ತಿದೆ,V__VM__VF
.,RD__PUNC
ಇಲಾಖೆಯನ್ನು,N__NN
2008ರಿಂದ,N__NN
ಹೆದ್ದಾರಿಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಸಣ್ಣ,JJ
ಬಂದರುಗಳ,N__NN
ಇಲಾಖೆ,N__NN
ಎಂದು,CC__CCS
ಮರು,JJ
ನಾಮಕರಣ,N__NN
ಮಾಡಲು,V__VM__VINF
ಆಗಿ,V__VAUX
ಇದ್ದು,V__VAUX
",",RD__PUNC
ಸರ್ಕಾರವು,N__NN
ಈ,DM__DMD
ವಲಯಕ್ಕೆ,N__NN
ಈ,DM__DMD
ಕೆಳಗಿನ,N__NST
ಇಪ್ಪತ್ತು,QT__QTC
ನೀತಿಗಳನ್ನು,N__NN
ರೂಪಿಸಿದೆ,V__VM__VF
.,RD__PUNC
ಎಲ್ಲಾ,JJ
ರಾಜ್ಯ,JJ
ಹೆದ್ದಾರಿಗಳನ್ನು,N__NN
(,RD__SYM
SH,RD__RDF
),RD__SYM
ಕನಿಷ್ಠ,JJ
ದ್ವಿ,QT__QTC
ಪಥ,N__NN
ಆಗಿ,RP__RPD
(,RD__SYM
7,QT__QTC
ಮೀ.,RP__CL
ಅಗಲ,N__NN
),RD__SYM
ಮಾಡುವುದು,V__VM__VF
.,RD__PUNC
ಸಾರಿಗೆ,N__NN
ದಟ್ಟಣೆ,N__NNV
ಅಧಿಕ,RB
ಇರುವ,V__VM__VNG
ಜಿಲ್ಲಾ,JJ
ಮುಖ್ಯ,JJ
ರಸ್ತೆಗಳನ್ನು,N__NN
(,RD__SYM
MDR,RD__RDF
),RD__SYM
ಕನಿಷ್ಠ,JJ
ಮಧ್ಯ,N__NST
ಮಾರ್ಗದಲ್ಲಿ,N__NN
ಅಗಲಗೊಳಿಸುವುದು,V__VM__VF
(,RD__SYM
5.50,QT__QTC
ಮೀ.,RP__CL
ಅಗಲ,N__NN
),RD__SYM
.,RD__PUNC
ಸಾರಿಗೆಯ,N__NN
ದಟ್ಟಣೆಯು,N__NNV
ಹೆಚ್ಚಾಗಿ,RB
ಇರುವಲ್ಲಿ,V__VM__VNG
ಅಗತ್ಯ,N__NN
ಇರುವ,V__VM__VNG
ಇತರ,JJ
ಜಿಲ್ಲಾ,JJ
ರಸ್ತೆಗಳ,N__NN
(,RD__SYM
ಒಡಿಆರ್‌,N__NNP
),RD__SYM
ಮಧ್ಯ,N__NST
ಮಾರ್ಗವನ್ನು,N__NN
ಹಂತಹಂತವಾಗಿ,RB
ಅಗಲಗೊಳಿಸುವುದು,V__VM__VF
(,RD__SYM
5.50,QT__QTC
ಮೀ.,RP__CL
ಅಗಲ,N__NN
),RD__SYM
.,RD__PUNC
ಅತೀ,RP__INTF
ಭಾರ,RB
ಹೊರುವ,V__VM__VNG
ವಾಹನಗಳು,N__NN
ಹಾದು,V__VM__VNG
ಹೋಗಲು,V__VAUX
ಆಗುವ,V__VM__VNG
ಖನಿಜ,JJ
ಗಣಿಗಳಿಗೆ,N__NN
ಹೋಗುವ,V__VM__VNG
ರಸ್ತೆಗಳ,N__NN
ಪತ್ತೆ,N__NN
ಮತ್ತು,CC__CCD
ದೃಢೀಕರಣ,N__NN
.,RD__PUNC
ಆದಿದ್ರಾವಿಡರು,N__NNP
ಮತ್ತು,CC__CCD
ಬುಡಕಟ್ಟು,JJ
ವಸತಿಗಳನ್ನು,N__NN
ಸಂಪರ್ಕಿಸುವ,V__VM__VNG
ಸರ್ಕಾರಿ,JJ
ರಸ್ತೆಗಳನ್ನು,N__NN
ಸುಧಾರಿಸುವುದು,V__VM__VF
.,RD__PUNC
ಸಂಚಾರದ,N__NN
ದಟ್ಟಣೆಯನ್ನು,N__NNV
ಕಡಿಮೆ,RB
ಮಾಡಲು,V__VM__VINF
ಬೀರುಗೆರೆ,JJ
ರಸ್ತೆಗಳು,N__NN
",",RD__PUNC
ವರ್ತುಲ,JJ
ರಸ್ತೆಗಳು,N__NN
",",RD__PUNC
ಹೊರ,N__NST
ವಲಯದ,N__NN
ರಸ್ತೆಗಳ,N__NN
ನಿರ್ಮಾಣ,N__NN
.,RD__PUNC
ಕಾರ್ಖಾನೆಗಳು,N__NN
ಇರುವ,V__VM__VNG
ಕೈಗಾರಿಕಾ,JJ
ಪ್ರದೇಶಗಳಿಗೆ,N__NN
ಮತ್ತು,CC__CCD
ಹೊಸ,JJ
ಕೈಗಾರಿಕಾ,JJ
ಪ್ರದೇಶಗಳಿಗೆ,N__NN
ಹೋಗುವ,V__VM__VNG
ರಸ್ತೆಗಳನ್ನು,N__NN
ಸುಧಾರಿಸುವುದು,V__VM__VF
.,RD__PUNC
ಕೈಗಾರಿಕಾ,JJ
ರಸ್ತೆಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಬಂದರುಗಳ,N__NN
ನಡುವಿನ,N__NST
ಸಂಪರ್ಕವನ್ನು,N__NN
ಸುಧಾರಿಸುವುದು,V__VM__VF
",",RD__PUNC
ಆ,DM__DMD
ಮೂಲಕ,RP__RPD
ಕೈಗಾರಿಕಾ,JJ
ಬೆಳವಣಿಗೆಯನ್ನು,N__NNV
ಉತ್ತೇಜಿಸುವುದು,V__VM__VF
.,RD__PUNC
ಜನ,N__NN
ಸಾಮಾನ್ಯರ,N__NN
ಅನುಕೂಲಕ್ಕೆ,N__NN
ಪ್ರವಾಸಿ,JJ
ಮತ್ತು,CC__CCD
ಪೂಜಾ,JJ
ಸ್ಥಳಗಳಿಗೆ,N__NN
ಹೋಗುವ,V__VM__VNG
ರಸ್ತೆಗಳನ್ನು,N__NN
ಸುಧಾರಿಸುವುದು,V__VM__VF
.,RD__PUNC
ಸಾರ್ವಜನಿಕ,JJ
-,RD__SYM
ಖಾಸಗಿ,JJ
ಸಹಭಾಗಿತ್ವದ,N__NN
ಮೂಲಕ,RP__RPD
ಹೆಚ್ಚಿನ,JJ
ವಾಹನ,N__NN
ದಟ್ಟಣೆಯ,N__NN
ರಸ್ತೆಗಳನ್ನು,N__NN
ಸುಧಾರಿಸುವುದು,V__VM__VF
.,RD__PUNC
ಪಾದಚಾರಿಗಳಿಗೆ,N__NN
ಅಗತ್ಯ,N__NN
ಇರುವ,V__VM__VNG
ರಸ್ತೆಯನ್ನು,N__NN
ದಾಟಲು,V__VM__VINF
ಸುರಂಗ,JJ
ಮಾರ್ಗಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಎತ್ತರದ,JJ
ಪಾದಚಾರಿ,N__NN
ಮಾರ್ಗಗಳ,N__NN
ನಿರ್ಮಾಣ,N__NN
.,RD__PUNC
ರಸ್ತೆ,N__NN
ಬದಿಯಲ್ಲಿ,N__NST
ಇರುವ,V__VM__VNG
ಮರಗಳ,N__NN
ನಿರ್ವಹಣೆ,N__NNV
ಮತ್ತು,CC__CCD
ಅಗತ್ಯ,N__NN
ಇರುವಲ್ಲಿ,V__VM__VNG
ಸಸಿಗಳನ್ನು,N__NN
ನೆಡುವುದು,V__VM__VF
ಮತ್ತು,CC__CCS
ನಿರ್ವಹಿಸುವುದು,V__VM__VF
.,RD__PUNC
ರಸ್ತೆಗಳ,N__NN
ಗಡಿಗಳನ್ನು,N__NN
ವ್ಯಾಖ್ಯಾನಿಸುವುದು,V__VM__VF
ಮತ್ತು,CC__CCS
ಇಲಾಖೆಯ,N__NN
ಒಡೆತನದ,N__NN
ಪ್ರದೇಶಗಳನ್ನು,N__NN
ಭದ್ರಪಡಿಸುವುದು,V__VM__VF
.,RD__PUNC
ರಸ್ತೆ,JJ
ಅಪಘಾತಗಳ,N__NN
ಮಾಹಿತಿಯ,N__NN
ನಿರ್ವಹಣಾ,JJ
ಯೋಜನೆಯನ್ನು,N__NN
ಅನುಷ್ಠಾನ,N__NN
ಮಾಡುವುದು,V__VM__VF
ಮತ್ತು,CC__CCD
ಆ,DM__DMD
ಮೂಲಕ,RP__RPD
ಗುರುತಿಸಲು,V__VM__VINF
ಆದ,V__VAUX
ಅಪಘಾತ,N__NN
ಪೀಡಿತ,JJ
ರಸ್ತೆ,N__NN
ಪ್ರದೇಶಗಳನ್ನು,N__NN
ಅಭಿವೃದ್ಧಿಪಡಿಸುವುದು,V__VM__VF
.,RD__PUNC
ಸೇತುವೆಗಳ,N__NN
ನಿರ್ವಹಣೆ,N__NNV
ಮತ್ತು,CC__CCD
ಜಲ,JJ
ಮಾರ್ಗಗಳು,N__NN
",",RD__PUNC
ಸಾರಿಗೆಯ,N__NN
ದಟ್ಟಣೆಯು,N__NNV
ಇರುವ,V__VM__VNG
ಹೆದ್ದಾರಿಗಳಲ್ಲಿ,N__NN
ಮತ್ತು,CC__CCD
ರೈಲ್ವೇ,N__NN
ಕಡವುಗಳಲ್ಲಿ,N__NN
ಮೇಲು,N__NST
/,RD__SYM
ಕೆಳ,N__NST
ಸೇತುವೆಗಳ,N__NN
ನಿರ್ಮಾಣ,N__NN
.,RD__PUNC
ಇಲಾಖೆಯು,N__NN
ಕೈಗೊಂಡ,V__VM__VNG
ಕೆಲಸದ,N__NN
ಗುಣಮಟ್ಟವನ್ನು,N__NN
ಮೇಲ್ವಿಚಾರಣೆ,N__NN
ಮಾಡುವುದು,V__VM__VF
ಮತ್ತು,CC__CCS
.,RD__PUNC
ಈ,DM__DMD
ಇಲಾಖೆಯ,N__NN
ನಿರ್ವಹಣೆಯಲ್ಲಿ,N__NNV
ರಸ್ತೆಗಳಲ್ಲಿ,N__NN
ನೀರು,N__NN
ತಂಗುವುದನ್ನು,V__VM__VNG
ತಪ್ಪಿಸಿ,V__VM__VNF
ಸ್ಥಳೀಯ,JJ
ಸಂಸ್ಥೆಗಳ,N__NN
ನೆರವಿನ,N__NNV
ಒಂದಿಗೆ,RP__RPD
ಒಳ,JJ
ಚರಂಡಿಗಳ,N__NN
ಸೌಲಭ್ಯಗಳನ್ನು,N__NN
ನಿರ್ಮಿಸುವುದು,V__VM__VF
.,RD__PUNC
ಭವಿಷ್ಯದಲ್ಲಿ,N__NN
ನಡೆಸಲು,V__VM__VINF
ಆಗುವ,V__VAUX
ರಸ್ತೆ,N__NN
ಮತ್ತು,CC__CCD
ಸೇತುವೆ,N__NN
ಕಾರ್ಯಗಳನ್ನು,N__NN
ಹುಡುಕಲು,V__VM__VINF
ವಿಶೇಷ,JJ
ಅಧ್ಯಯನ,N__NN
ನಡೆಸುವುದು,V__VM__VF
.,RD__PUNC
ತಮಿಳುನಾಡಿನಲ್ಲಿ,N__NNP
ಚಿಕ್ಕ,JJ
ಬಂದರುಗಳನ್ನು,N__NN
ಖಾಸಗಿ,JJ
ಹೂಡಿಕೆ,N__NNV
ಮೂಲಕ,RP__RPD
ಅಭಿವೃದ್ಧಿ,N__NN
ಪಡಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಅವುಗಳ,DM__DMD
ಬೆಳವಣಿಗೆಗೆ,N__NNV
